"x","y","dit"
-179.5,89.5,NA
-178.5,89.5,NA
-177.5,89.5,NA
-176.5,89.5,NA
-175.5,89.5,NA
-174.5,89.5,NA
-173.5,89.5,NA
-172.5,89.5,NA
-171.5,89.5,NA
-170.5,89.5,NA
-169.5,89.5,NA
-168.5,89.5,NA
-167.5,89.5,NA
-166.5,89.5,NA
-165.5,89.5,NA
-164.5,89.5,NA
-163.5,89.5,NA
-162.5,89.5,NA
-161.5,89.5,NA
-160.5,89.5,NA
-159.5,89.5,NA
-158.5,89.5,NA
-157.5,89.5,NA
-156.5,89.5,NA
-155.5,89.5,NA
-154.5,89.5,NA
-153.5,89.5,NA
-152.5,89.5,NA
-151.5,89.5,NA
-150.5,89.5,NA
-149.5,89.5,NA
-148.5,89.5,NA
-147.5,89.5,NA
-146.5,89.5,NA
-145.5,89.5,NA
-144.5,89.5,NA
-143.5,89.5,NA
-142.5,89.5,NA
-141.5,89.5,NA
-140.5,89.5,NA
-139.5,89.5,NA
-138.5,89.5,NA
-137.5,89.5,NA
-136.5,89.5,NA
-135.5,89.5,NA
-134.5,89.5,NA
-133.5,89.5,NA
-132.5,89.5,NA
-131.5,89.5,NA
-130.5,89.5,NA
-129.5,89.5,NA
-128.5,89.5,NA
-127.5,89.5,NA
-126.5,89.5,NA
-125.5,89.5,NA
-124.5,89.5,NA
-123.5,89.5,NA
-122.5,89.5,NA
-121.5,89.5,NA
-120.5,89.5,NA
-119.5,89.5,NA
-118.5,89.5,NA
-117.5,89.5,NA
-116.5,89.5,NA
-115.5,89.5,NA
-114.5,89.5,NA
-113.5,89.5,NA
-112.5,89.5,NA
-111.5,89.5,NA
-110.5,89.5,NA
-109.5,89.5,NA
-108.5,89.5,NA
-107.5,89.5,NA
-106.5,89.5,NA
-105.5,89.5,NA
-104.5,89.5,NA
-103.5,89.5,NA
-102.5,89.5,NA
-101.5,89.5,NA
-100.5,89.5,NA
-99.5,89.5,NA
-98.5,89.5,NA
-97.5,89.5,NA
-96.5,89.5,NA
-95.5,89.5,NA
-94.5,89.5,NA
-93.5,89.5,NA
-92.5,89.5,NA
-91.5,89.5,NA
-90.5,89.5,NA
-89.5,89.5,NA
-88.5,89.5,NA
-87.5,89.5,NA
-86.5,89.5,NA
-85.5,89.5,NA
-84.5,89.5,NA
-83.5,89.5,NA
-82.5,89.5,NA
-81.5,89.5,NA
-80.5,89.5,NA
-79.5,89.5,NA
-78.5,89.5,NA
-77.5,89.5,NA
-76.5,89.5,NA
-75.5,89.5,NA
-74.5,89.5,NA
-73.5,89.5,NA
-72.5,89.5,NA
-71.5,89.5,NA
-70.5,89.5,NA
-69.5,89.5,NA
-68.5,89.5,NA
-67.5,89.5,NA
-66.5,89.5,NA
-65.5,89.5,NA
-64.5,89.5,NA
-63.5,89.5,NA
-62.5,89.5,NA
-61.5,89.5,NA
-60.5,89.5,NA
-59.5,89.5,NA
-58.5,89.5,NA
-57.5,89.5,NA
-56.5,89.5,NA
-55.5,89.5,NA
-54.5,89.5,NA
-53.5,89.5,NA
-52.5,89.5,NA
-51.5,89.5,NA
-50.5,89.5,NA
-49.5,89.5,NA
-48.5,89.5,NA
-47.5,89.5,NA
